id,name,years,institutions,countries,affiliations_comment,journal_names,works_count,total_works_count,total_cited_by_count
A5042407768,A Harel,1997,Hebrew University of Jerusalem,IL,,Oxford Journal of Legal Studies,1,3,12
A5038253458,A. B. Saposnik,2009,Arizona State University,US,,Holocaust and Genocide Studies (HGS),1,45,212
A5005142172,A. B. Zahlan,1972,,,,Journal of Palestine Studies,1,1,2
A5088175151,A. Ben-Porat,1992,,,,The British Journal of Sociology (BJS),1,1,7
A5110429144,A. F. Robertson,1990,"University of California, Santa Barbara",US,,Ethnos: Journal of Anthropology,1,90,1244
A5087827951,A. H. Doerr,1970,,,,Middle East Journal,1,59,64
A5008711789,A. Hourani,1955,,,,Middle East Journal,1,4,11
A5043757592,A. Imseis,2001;2020,Queen's University,CA,,European Journal of International Law (EJIL);International Journal of Human Rights (IJHR),2,57,269
A5039805523,A. Lazar,2004,,,,Holocaust and Genocide Studies (HGS),1,1,4
A5053985582,A. M. Khazanov,1981,,,,Current Anthropology,1,2,380
A5047287308,A. Paul Hare,1993,Ben-Gurion University of the Negev,IL,,Holocaust and Genocide Studies (HGS),1,86,1798
A5083907256,A. Timm,2007,Bar-Ilan University,IL,,Holocaust and Genocide Studies (HGS),1,27,66
A5002192150,A.B. Zahlan,1972,Jerusalem University College,IL,,Journal of Palestine Studies,1,77,1011
A5060881700,A.J. Forey,1994,Durham University,GB,,British Journal of Middle Eastern Studies (BRISMES),1,122,524
A5054270409,Aeyal M. Gross,2006,,,,Leiden Journal of International Law (LJIL),1,109,616
A5103840478,Ahmed S. Hashim,2003,,,,International Journal of Middle East Studies (IJMES),1,113,789
A5024702079,Alastair Crooke,2004,,,,Journal of Palestine Studies,1,20,128
A5006353937,Amit Kama,2011;2013,The Max Stern Yezreel Valley College,IL,,European Journal of Cultural Studies;Journal of the Royal Anthropological Institute (JRAI),2,27,366
A5113733831,Andrew Gee,2012,Defence Science and Technology Laboratory,GB,,Journal of the Royal Anthropological Institute (JRAI),1,16,78
A5091465006,Anna Getmansky,2014,Reichman University,IL,,American Political Science Review (APSR),1,31,564
A5069327126,Arthur L. Smith,1990,California State University Los Angeles,US,,Holocaust and Genocide Studies (HGS),1,147,966
A5009058790,Asa Kasher,2003,Tel Aviv University,IL,,Journal of Loss and Trauma,1,142,1912
A5059555732,Avram Bornstein,2005;2007,City University of New York;John Jay College of Criminal Justice,US,,American Anthropologist;International Journal of Middle East Studies (IJMES),2,41,387
A5066836817,Aamir R. Mufti,2003,,,,Journal of Palestine Studies,1,34,2520
A5110302098,Aaron Antonovsky,1966,,,,American Sociological Review (ASR),1,95,22950
A5065414319,Aaron Cohen,1986;1987,,,,The British Journal of Sociology (BJS),2,170,7930
A5059210511,Aaron P. Willis,1994,Princeton University,US,,International Journal of Middle East Studies (IJMES),1,2,0
A5014411435,Aaron Ponce,2024,Indiana University Bloomington,US,,Ethnic and Racial Studies,1,21,157
A5004158532,Aaron T. Wolf,1999,,,,Journal of Palestine Studies,1,165,6367
A5084595936,Aaron Yoran,1974,,,,Stanford Law Review,1,15,5
A5032194834,Abba Eban,1962,,,,American Sociological Review (ASR),1,57,283
A5113941420,Abbas A. Mohamed,1993,United Arab Emirates University,AE,,British Journal of Middle Eastern Studies (BRISMES),1,35,144
A5070443720,Abdalla M. Battah,1997;1999;2000,"Minnesota State University, Mankato",US,,American Political Science Review (APSR);Middle East Journal,3,9,46
A5041544901,Abdessamad Belhaj,2016,,,"MTA-SZTE Research Group for the Study of Religious Culture, Hungary","Social Identities: Journal for the Study of Race, Nation and Culture",1,250,280
