author_id,author_name,journal_id,journal_name,specific_works,total_works
A1232323733,Nahikari Irastorza,S149872823,Journal of Ethnic and Migration Studies (JEMS),1,1
A1923203863,Thomas Hinz,S149872823,Journal of Ethnic and Migration Studies (JEMS),1,2
A1923203863,Thomas Hinz,S157620343,American Sociological Review (ASR),0,1
A1923203863,Thomas Hinz,S159327246,European Sociological Review (ESR),0,1
A1923203863,Thomas Hinz,S173252385,The British Journal of Sociology (BJS),0,1
A1923203863,Thomas Hinz,S189112142,Ethnicities,2,1
A2123205186,Dan Rodríguez-García,S149872823,Journal of Ethnic and Migration Studies (JEMS),1,1
A2190862602,Jhhw,S175405714,European Journal of International Law (EJIL),2,25
A2274739309,Isaac Sasson,S159327246,European Sociological Review (ESR),2,2
A2337898567,Sayaka Osanami Törngren,S149872823,Journal of Ethnic and Migration Studies (JEMS),1,1
A2604986486,Dana Shay,S159327246,European Sociological Review (ESR),1,1
A3123580031,"Mellor, Noha",S184885884,Middle East Journal,1,1
A3183966527,Shir Caller,S189112142,Ethnicities,3,2
A3183966527,Shir Caller,S96629499,Ethnic and Racial Studies,0,1
A4257697716,U.S. Department of State,S88529193,Journal of Palestine Studies,3,4
A5000016034,Gerald E. Caiden,S176007004,American Political Science Review (APSR),1,1
A5000035790,Sheila Patterson,S149872823,Journal of Ethnic and Migration Studies (JEMS),0,14
A5000035790,Sheila Patterson,S157620343,American Sociological Review (ASR),0,5
A5000035790,Sheila Patterson,S173252385,The British Journal of Sociology (BJS),0,6
A5000035790,Sheila Patterson,S96629499,Ethnic and Racial Studies,1,2
A5000055053,Orly Benjamin,S173252385,The British Journal of Sociology (BJS),1,1
A5000055053,Orly Benjamin,S96629499,Ethnic and Racial Studies,2,2
A5000104944,Clark McCauley,S184885884,Middle East Journal,2,3
A5000104944,Clark McCauley,S29984966,Journal of Personality and Social Psychology (JPSP),0,15
A5000110342,Sonia Boulos,S139935717,International Journal of Human Rights (IJHR),0,1
A5000110342,Sonia Boulos,S59071098,Journal of Genocide Research (JGR),1,1
A5000160047,Elia Zureik,S117214891,International Criminal Justice Review,1,1
A5000160047,Elia Zureik,S122471516,American Journal of Sociology (AJS),0,1
A5000160047,Elia Zureik,S173252385,The British Journal of Sociology (BJS),0,1
A5000160047,Elia Zureik,S199726014,British Journal of Middle Eastern Studies (BRISMES),3,4
A5000160047,Elia Zureik,S87435064,International Journal of Middle East Studies (IJMES),3,5
A5000160047,Elia Zureik,S88529193,Journal of Palestine Studies,23,44
A5000160047,Elia Zureik,S94209876,Middle East Critique,1,1
A5000160047,Elia Zureik,S95691132,British Journal of Political Science (BJPolS),0,1
A5000181177,Ahmad Sidqi Al-Dajani,S88529193,Journal of Palestine Studies,1,2
A5000252321,Emine Onaran Incirlioğlu,S199726014,British Journal of Middle Eastern Studies (BRISMES),2,5
A5000264975,Dimitry Shumsky,S603496,"Social Identities: Journal for the Study of Race, Nation and Culture",1,1
A5000287033,"Eran Razin, Dan Scheinberg",S149872823,Journal of Ethnic and Migration Studies (JEMS),1,1
A5000296085,Sylvia Helen Forman,S102499938,American Anthropologist,1,2
A5000307946,Béatrice S. Hasler,S81071032,Group Processes & Intergroup Relations (GPIR),1,1
A5000386688,Sean D. Murphy,S156235965,International & Comparative Law Quarterly (ICLQ),0,2
A5000386688,Sean D. Murphy,S160097506,American Journal of International Law (AJIL),1,198
A5000386688,Sean D. Murphy,S175405714,European Journal of International Law (EJIL),0,1
A5000386688,Sean D. Murphy,S42104779,Journal of International Dispute Settlement (JIDS),0,1
A5000453966,Gideon Rahat,S184885884,Middle East Journal,2,2
A5000493300,Catherine Cobham,S199726014,British Journal of Middle Eastern Studies (BRISMES),1,1
A5000506693,Aslı Bâli,S129275725,Law and Social Inquiry,1,1
A5000506693,Aslı Bâli,S88529193,Journal of Palestine Studies,0,1
A5000512402,Nader Entessar,S184885884,Middle East Journal,1,5
A5000512402,Nader Entessar,S87435064,International Journal of Middle East Studies (IJMES),0,5
A5000519909,Robin Barlow,S87435064,International Journal of Middle East Studies (IJMES),1,2
A5000542719,Don Martindale,S122471516,American Journal of Sociology (AJS),1,9
A5000542719,Don Martindale,S157620343,American Sociological Review (ASR),0,15
A5000542719,Don Martindale,S173252385,The British Journal of Sociology (BJS),0,1
A5000542719,Don Martindale,S176007004,American Political Science Review (APSR),0,1
A5000543821,Robert I. Friedman,S88529193,Journal of Palestine Studies,4,8
A5000581258,Marcia Inhorn,S102499938,American Anthropologist,0,1
A5000581258,Marcia Inhorn,S122471516,American Journal of Sociology (AJS),0,1
A5000581258,Marcia Inhorn,S184885884,Middle East Journal,1,1
A5000581258,Marcia Inhorn,S65256140,Journal of the Royal Anthropological Institute (JRAI),0,1
A5000581258,Marcia Inhorn,S87435064,International Journal of Middle East Studies (IJMES),0,2
A5000602543,Malcolm Dando,S139935717,International Journal of Human Rights (IJHR),1,1
A5000607454,Rosemary Sayigh,S88529193,Journal of Palestine Studies,3,22
A5000629048,Barry Hindess,S173252385,The British Journal of Sociology (BJS),0,3
A5000629048,Barry Hindess,S176007004,American Political Science Review (APSR),0,1
A5000629048,Barry Hindess,S189112142,Ethnicities,0,1
A5000629048,Barry Hindess,S603496,"Social Identities: Journal for the Study of Race, Nation and Culture",0,2
A5000629048,Barry Hindess,S60621485,Sociological Theory,0,1
A5000629048,Barry Hindess,S96629499,Ethnic and Racial Studies,1,1
A5000629048,Barry Hindess,S97919111,Thesis Eleven: Critical Theory and Historical Sociology,0,7
A5000636604,Robin Cohen,S149872823,Journal of Ethnic and Migration Studies (JEMS),0,9
A5000636604,Robin Cohen,S173252385,The British Journal of Sociology (BJS),0,2
A5000636604,Robin Cohen,S603496,"Social Identities: Journal for the Study of Race, Nation and Culture",0,3
A5000636604,Robin Cohen,S96629499,Ethnic and Racial Studies,1,3
A5000722882,Nigel Parsons,S184885884,Middle East Journal,1,2
A5000742126,Frances McLernon,S168863142,Journal of Social Issues (JSI),1,1
A5000792868,Livia Rokach,S87435064,International Journal of Middle East Studies (IJMES),0,1
A5000792868,Livia Rokach,S88529193,Journal of Palestine Studies,2,2
A5000800347,Michael O'Loughlin,S88529193,Journal of Palestine Studies,2,2
A5000819585,Ljubomir Radovanović,S88529193,Journal of Palestine Studies,1,2
A5000852821,Ronen Yitzhak,S184885884,Middle East Journal,1,1
A5000852821,Ronen Yitzhak,S199726014,British Journal of Middle Eastern Studies (BRISMES),1,1
A5000852821,Ronen Yitzhak,S94209876,Middle East Critique,1,1
A5000869278,Josef Joffe,S176007004,American Political Science Review (APSR),2,2
A5000916584,Mario Mikulincer,S187348256,Personality and Social Psychology Bulletin (PSPB),3,13
A5000916584,Mario Mikulincer,S29984966,Journal of Personality and Social Psychology (JPSP),12,71
A5000923035,Adi Sherzer,S199726014,British Journal of Middle Eastern Studies (BRISMES),1,1
A5000952698,Andrew Arato,S132513827,New German Critique,0,3
A5000952698,Andrew Arato,S57090429,Philosophy and Social Criticism,0,4
A5000952698,Andrew Arato,S64143016,Constellations,1,26
A5000952698,Andrew Arato,S97631563,Telos,0,11
A5000952698,Andrew Arato,S97919111,Thesis Eleven: Critical Theory and Historical Sociology,0,1
A5000994950,Naseer H. Aruri,S184885884,Middle East Journal,1,1
A5000994950,Naseer H. Aruri,S199726014,British Journal of Middle Eastern Studies (BRISMES),0,1
A5000994950,Naseer H. Aruri,S87435064,International Journal of Middle East Studies (IJMES),0,2
A5000994950,Naseer H. Aruri,S88529193,Journal of Palestine Studies,8,21
A5001000073,Anders Persson,S94209876,Middle East Critique,3,3
A5001001646,Franke Wilmer,S95650557,Journal of Politics (JOP),0,1
A5001001646,Franke Wilmer,S96629499,Ethnic and Racial Studies,2,4
A5001006551,David P. Gushee,S452692,Holocaust and Genocide Studies (HGS),1,3
A5001024931,Abraham Diskin,S184885884,Middle East Journal,0,1
A5001024931,Abraham Diskin,S95650557,Journal of Politics (JOP),1,2
A5001040742,Sholom Yerushalmi,S88529193,Journal of Palestine Studies,2,2
A5001045685,Rebecca Kook,S144836642,Memory Studies,1,1
A5001045685,Rebecca Kook,S149872823,Journal of Ethnic and Migration Studies (JEMS),0,1
A5001045685,Rebecca Kook,S184885884,Middle East Journal,1,1
A5001045685,Rebecca Kook,S57090429,Philosophy and Social Criticism,1,1
A5001045685,Rebecca Kook,S96629499,Ethnic and Racial Studies,1,1
A5001090918,Laurence D. Loeb,S102499938,American Anthropologist,3,14
A5001090918,Laurence D. Loeb,S165709033,Current Anthropology,0,1
A5001090918,Laurence D. Loeb,S184885884,Middle East Journal,0,1
A5001090918,Laurence D. Loeb,S87435064,International Journal of Middle East Studies (IJMES),1,2
A5001096702,Robert O. Krikorian,S184885884,Middle East Journal,1,2
A5001096702,Robert O. Krikorian,S87435064,International Journal of Middle East Studies (IJMES),0,1
A5001112403,Natallia Khamenka,S5866276,Journal of Loss and Trauma,1,1
A5001116520,Richard P. Hiskes,S139935717,International Journal of Human Rights (IJHR),0,1
A5001116520,Richard P. Hiskes,S176007004,American Political Science Review (APSR),0,7
A5001116520,Richard P. Hiskes,S38600022,Human Rights Quarterly,1,6
A5001116520,Richard P. Hiskes,S65076878,Journal of Human Rights (JHR),0,6
A5001171841,Anna Younes,S59071098,Journal of Genocide Research (JGR),0,1
A5001171841,Anna Younes,S94209876,Middle East Critique,1,1
A5001171841,Anna Younes,S96629499,Ethnic and Racial Studies,0,1
A5001178503,Sharon Imtiaz,S149872823,Journal of Ethnic and Migration Studies (JEMS),1,2
A5001207668,Willem A. van der Kloot,S187348256,Personality and Social Psychology Bulletin (PSPB),1,1
A5001256292,Bryna Bogoch,S129275725,Law and Social Inquiry,3,4
A5001256292,Bryna Bogoch,S44706263,Law and Society Review,0,2
A5001261536,Ronen Perry,S129275725,Law and Social Inquiry,1,1
A5001278910,Shoshi Fishbein,S5866276,Journal of Loss and Trauma,1,1
A5001408331,Dai Tamada,S175405714,European Journal of International Law (EJIL),0,1
A5001408331,Dai Tamada,S42104779,Journal of International Dispute Settlement (JIDS),1,1
A5001443177,Nerissa Russell,S102499938,American Anthropologist,0,2
A5001443177,Nerissa Russell,S165709033,Current Anthropology,1,2
A5001443776,Nancy Hite‐Rubin,S90314269,American Journal of Political Science (AJPS),1,1
A5001451692,Roger Zetter,S149872823,Journal of Ethnic and Migration Studies (JEMS),0,3
A5001451692,Roger Zetter,S96629499,Ethnic and Racial Studies,1,3
A5001460481,W. Arens,S43131466,Ethnos: Journal of Anthropology,1,1
A5001505544,Tom Reifer,S139935717,International Journal of Human Rights (IJHR),1,1
A5001505746,Liron Shani,S102499938,American Anthropologist,1,1
A5001505746,Liron Shani,S22506700,Cultural Anthropology,1,1
A5001505746,Liron Shani,S43131466,Ethnos: Journal of Anthropology,2,2
A5001518144,Peter Shaw-Smith,S88529193,Journal of Palestine Studies,2,2
A5001554984,Hedi Viterbo,S129275725,Law and Social Inquiry,1,2
A5001554984,Hedi Viterbo,S175405714,European Journal of International Law (EJIL),0,1
A5001566859,Michael Kallenbach,S88529193,Journal of Palestine Studies,2,2
A5001586503,Bashar H. Malkawi,S139935717,International Journal of Human Rights (IJHR),1,1
A5001637861,Yehuda Lukacs,S176007004,American Political Science Review (APSR),1,1
A5001637861,Yehuda Lukacs,S184885884,Middle East Journal,1,1
A5001637861,Yehuda Lukacs,S87435064,International Journal of Middle East Studies (IJMES),0,1
