source_id,journal_name,year,count
S157620343,American Sociological Review (ASR),1971,499
S157620343,American Sociological Review (ASR),1970,491
S157620343,American Sociological Review (ASR),1969,404
S157620343,American Sociological Review (ASR),1965,351
S157620343,American Sociological Review (ASR),1964,333
S157620343,American Sociological Review (ASR),1966,309
S157620343,American Sociological Review (ASR),1968,307
S157620343,American Sociological Review (ASR),1963,306
S157620343,American Sociological Review (ASR),1960,294
S157620343,American Sociological Review (ASR),1939,293
S157620343,American Sociological Review (ASR),1938,292
S157620343,American Sociological Review (ASR),1962,287
S157620343,American Sociological Review (ASR),1967,281
S157620343,American Sociological Review (ASR),1956,279
S157620343,American Sociological Review (ASR),1961,279
S157620343,American Sociological Review (ASR),1936,275
S157620343,American Sociological Review (ASR),1937,267
S157620343,American Sociological Review (ASR),1941,259
S157620343,American Sociological Review (ASR),1959,259
S157620343,American Sociological Review (ASR),1943,254
S157620343,American Sociological Review (ASR),1940,247
S157620343,American Sociological Review (ASR),1957,247
S157620343,American Sociological Review (ASR),1958,239
S157620343,American Sociological Review (ASR),1955,229
S157620343,American Sociological Review (ASR),1942,225
S157620343,American Sociological Review (ASR),1945,213
S157620343,American Sociological Review (ASR),1944,212
S157620343,American Sociological Review (ASR),1952,210
S157620343,American Sociological Review (ASR),1954,207
S157620343,American Sociological Review (ASR),1951,202
S157620343,American Sociological Review (ASR),1953,200
S157620343,American Sociological Review (ASR),1950,186
S157620343,American Sociological Review (ASR),1946,179
S157620343,American Sociological Review (ASR),1948,172
S157620343,American Sociological Review (ASR),1947,169
S157620343,American Sociological Review (ASR),1949,154
S157620343,American Sociological Review (ASR),1976,118
S157620343,American Sociological Review (ASR),1999,117
S157620343,American Sociological Review (ASR),2000,109
S157620343,American Sociological Review (ASR),1981,101
S157620343,American Sociological Review (ASR),1972,99
S157620343,American Sociological Review (ASR),1974,98
S157620343,American Sociological Review (ASR),2001,94
S157620343,American Sociological Review (ASR),1977,92
S157620343,American Sociological Review (ASR),1979,91
S157620343,American Sociological Review (ASR),1980,91
S157620343,American Sociological Review (ASR),2003,91
S157620343,American Sociological Review (ASR),2002,90
S157620343,American Sociological Review (ASR),1982,87
S157620343,American Sociological Review (ASR),1978,82
S157620343,American Sociological Review (ASR),1973,81
S157620343,American Sociological Review (ASR),1989,81
S157620343,American Sociological Review (ASR),1983,80
S157620343,American Sociological Review (ASR),1988,80
S157620343,American Sociological Review (ASR),1975,78
S157620343,American Sociological Review (ASR),1990,75
S157620343,American Sociological Review (ASR),1987,73
S157620343,American Sociological Review (ASR),1984,71
S157620343,American Sociological Review (ASR),1986,69
S157620343,American Sociological Review (ASR),1991,69
S157620343,American Sociological Review (ASR),1996,68
S157620343,American Sociological Review (ASR),1985,66
S157620343,American Sociological Review (ASR),1997,61
S157620343,American Sociological Review (ASR),1992,60
S157620343,American Sociological Review (ASR),1993,58
S157620343,American Sociological Review (ASR),1995,58
S157620343,American Sociological Review (ASR),1998,57
S157620343,American Sociological Review (ASR),2014,55
S157620343,American Sociological Review (ASR),2015,55
S157620343,American Sociological Review (ASR),2004,52
S157620343,American Sociological Review (ASR),1994,51
S157620343,American Sociological Review (ASR),2006,51
S157620343,American Sociological Review (ASR),2007,51
S157620343,American Sociological Review (ASR),2009,51
S157620343,American Sociological Review (ASR),2017,51
S157620343,American Sociological Review (ASR),2020,51
S157620343,American Sociological Review (ASR),2005,49
S157620343,American Sociological Review (ASR),2008,49
S157620343,American Sociological Review (ASR),2012,49
S157620343,American Sociological Review (ASR),2013,48
S157620343,American Sociological Review (ASR),2016,48
S157620343,American Sociological Review (ASR),2011,47
S157620343,American Sociological Review (ASR),2010,46
S157620343,American Sociological Review (ASR),2018,44
S157620343,American Sociological Review (ASR),2019,43
S157620343,American Sociological Review (ASR),2021,43
S157620343,American Sociological Review (ASR),2025,42
S157620343,American Sociological Review (ASR),2023,41
S157620343,American Sociological Review (ASR),2022,40
S157620343,American Sociological Review (ASR),2024,39
S122471516,American Journal of Sociology (AJS),1932,390
S122471516,American Journal of Sociology (AJS),1929,379
S122471516,American Journal of Sociology (AJS),1935,379
S122471516,American Journal of Sociology (AJS),1930,350
S122471516,American Journal of Sociology (AJS),1989,338
S122471516,American Journal of Sociology (AJS),1934,333
S122471516,American Journal of Sociology (AJS),1931,326
S122471516,American Journal of Sociology (AJS),1940,326
S122471516,American Journal of Sociology (AJS),1933,321
S122471516,American Journal of Sociology (AJS),1939,319
S122471516,American Journal of Sociology (AJS),1936,310
S122471516,American Journal of Sociology (AJS),1927,306
S122471516,American Journal of Sociology (AJS),1968,305
S122471516,American Journal of Sociology (AJS),1993,304
S122471516,American Journal of Sociology (AJS),1938,298
S122471516,American Journal of Sociology (AJS),1937,288
S122471516,American Journal of Sociology (AJS),1998,288
S122471516,American Journal of Sociology (AJS),1974,287
S122471516,American Journal of Sociology (AJS),1928,286
S122471516,American Journal of Sociology (AJS),1956,283
S122471516,American Journal of Sociology (AJS),1961,278
S122471516,American Journal of Sociology (AJS),1941,277
S122471516,American Journal of Sociology (AJS),1996,277
S122471516,American Journal of Sociology (AJS),1926,276
S122471516,American Journal of Sociology (AJS),1965,276
S122471516,American Journal of Sociology (AJS),1999,274
S122471516,American Journal of Sociology (AJS),1964,272
S122471516,American Journal of Sociology (AJS),1976,271
S122471516,American Journal of Sociology (AJS),1978,269
S122471516,American Journal of Sociology (AJS),1975,268
S122471516,American Journal of Sociology (AJS),1988,268
S122471516,American Journal of Sociology (AJS),1991,268
S122471516,American Journal of Sociology (AJS),1997,268
S122471516,American Journal of Sociology (AJS),1987,266
S122471516,American Journal of Sociology (AJS),1977,265
S122471516,American Journal of Sociology (AJS),2009,260
S122471516,American Journal of Sociology (AJS),1994,259
S122471516,American Journal of Sociology (AJS),1942,257
S122471516,American Journal of Sociology (AJS),1992,255
S122471516,American Journal of Sociology (AJS),1986,253
S122471516,American Journal of Sociology (AJS),1962,252
S122471516,American Journal of Sociology (AJS),1979,252
S122471516,American Journal of Sociology (AJS),2019,252
S122471516,American Journal of Sociology (AJS),1990,251
S122471516,American Journal of Sociology (AJS),1980,249
S122471516,American Journal of Sociology (AJS),1973,247
S122471516,American Journal of Sociology (AJS),1958,245
S122471516,American Journal of Sociology (AJS),1957,240
S122471516,American Journal of Sociology (AJS),1971,240
S122471516,American Journal of Sociology (AJS),1983,240
S122471516,American Journal of Sociology (AJS),1959,239
S122471516,American Journal of Sociology (AJS),1982,239
S122471516,American Journal of Sociology (AJS),2010,235
S122471516,American Journal of Sociology (AJS),1972,233
S122471516,American Journal of Sociology (AJS),1981,232
S122471516,American Journal of Sociology (AJS),1985,229
S122471516,American Journal of Sociology (AJS),1963,228
S122471516,American Journal of Sociology (AJS),1966,227
S122471516,American Journal of Sociology (AJS),2003,227
S122471516,American Journal of Sociology (AJS),1951,222
S122471516,American Journal of Sociology (AJS),1984,222
S122471516,American Journal of Sociology (AJS),1943,220
S122471516,American Journal of Sociology (AJS),2000,220
S122471516,American Journal of Sociology (AJS),2002,219
S122471516,American Journal of Sociology (AJS),2001,218
S122471516,American Journal of Sociology (AJS),2006,214
S122471516,American Journal of Sociology (AJS),1952,213
S122471516,American Journal of Sociology (AJS),1954,213
S122471516,American Journal of Sociology (AJS),2004,211
S122471516,American Journal of Sociology (AJS),2008,211
S122471516,American Journal of Sociology (AJS),2020,211
S122471516,American Journal of Sociology (AJS),1955,208
S122471516,American Journal of Sociology (AJS),1950,207
S122471516,American Journal of Sociology (AJS),1946,204
S122471516,American Journal of Sociology (AJS),1945,203
S122471516,American Journal of Sociology (AJS),1948,203
S122471516,American Journal of Sociology (AJS),2005,203
S122471516,American Journal of Sociology (AJS),1944,202
S122471516,American Journal of Sociology (AJS),1949,202
S122471516,American Journal of Sociology (AJS),1925,201
S122471516,American Journal of Sociology (AJS),1953,201
S122471516,American Journal of Sociology (AJS),2011,200
S122471516,American Journal of Sociology (AJS),2017,200
S122471516,American Journal of Sociology (AJS),1995,199
S122471516,American Journal of Sociology (AJS),2014,199
S122471516,American Journal of Sociology (AJS),2007,196
S122471516,American Journal of Sociology (AJS),2015,194
S122471516,American Journal of Sociology (AJS),1967,190
S122471516,American Journal of Sociology (AJS),1960,189
S122471516,American Journal of Sociology (AJS),2013,189
S122471516,American Journal of Sociology (AJS),1921,188
S122471516,American Journal of Sociology (AJS),2016,188
S122471516,American Journal of Sociology (AJS),1970,183
S122471516,American Journal of Sociology (AJS),1947,175
S122471516,American Journal of Sociology (AJS),1969,175
S122471516,American Journal of Sociology (AJS),2012,171
S122471516,American Journal of Sociology (AJS),1913,169
S122471516,American Journal of Sociology (AJS),2018,167
S122471516,American Journal of Sociology (AJS),2021,167
S122471516,American Journal of Sociology (AJS),1918,161
S122471516,American Journal of Sociology (AJS),2024,155
S122471516,American Journal of Sociology (AJS),2022,149
S122471516,American Journal of Sociology (AJS),1920,147
S122471516,American Journal of Sociology (AJS),2023,140
S122471516,American Journal of Sociology (AJS),1912,135
S122471516,American Journal of Sociology (AJS),1923,135
S122471516,American Journal of Sociology (AJS),1917,133
S122471516,American Journal of Sociology (AJS),1916,132
S122471516,American Journal of Sociology (AJS),1919,132
S122471516,American Journal of Sociology (AJS),1914,131
S122471516,American Journal of Sociology (AJS),1915,123
S122471516,American Journal of Sociology (AJS),1922,120
S122471516,American Journal of Sociology (AJS),1910,116
S122471516,American Journal of Sociology (AJS),2025,114
S122471516,American Journal of Sociology (AJS),1896,113
S122471516,American Journal of Sociology (AJS),1908,112
S122471516,American Journal of Sociology (AJS),1924,112
S122471516,American Journal of Sociology (AJS),1905,110
S122471516,American Journal of Sociology (AJS),1906,107
S122471516,American Journal of Sociology (AJS),1898,105
S122471516,American Journal of Sociology (AJS),1909,102
S122471516,American Journal of Sociology (AJS),1899,95
S122471516,American Journal of Sociology (AJS),1900,95
S122471516,American Journal of Sociology (AJS),1911,94
S122471516,American Journal of Sociology (AJS),1901,93
S122471516,American Journal of Sociology (AJS),1907,93
S122471516,American Journal of Sociology (AJS),1897,92
S122471516,American Journal of Sociology (AJS),1904,92
S122471516,American Journal of Sociology (AJS),1903,89
S122471516,American Journal of Sociology (AJS),1902,84
S122471516,American Journal of Sociology (AJS),1895,37
S122471516,American Journal of Sociology (AJS),1800,1
S159327246,European Sociological Review (ESR),2011,103
S159327246,European Sociological Review (ESR),2015,98
S159327246,European Sociological Review (ESR),2016,96
S159327246,European Sociological Review (ESR),2014,95
S159327246,European Sociological Review (ESR),2012,90
S159327246,European Sociological Review (ESR),2023,88
S159327246,European Sociological Review (ESR),2013,76
S159327246,European Sociological Review (ESR),2010,73
S159327246,European Sociological Review (ESR),2008,71
S159327246,European Sociological Review (ESR),2019,71
S159327246,European Sociological Review (ESR),2020,71
S159327246,European Sociological Review (ESR),2021,69
S159327246,European Sociological Review (ESR),2022,69
S159327246,European Sociological Review (ESR),2009,67
S159327246,European Sociological Review (ESR),2025,64
S159327246,European Sociological Review (ESR),2017,56
S159327246,European Sociological Review (ESR),2018,54
S159327246,European Sociological Review (ESR),2024,51
S159327246,European Sociological Review (ESR),2007,50
S159327246,European Sociological Review (ESR),2005,49
S159327246,European Sociological Review (ESR),2006,44
S159327246,European Sociological Review (ESR),1991,41
S159327246,European Sociological Review (ESR),2003,41
S159327246,European Sociological Review (ESR),1988,40
S159327246,European Sociological Review (ESR),1989,40
S159327246,European Sociological Review (ESR),1993,40
S159327246,European Sociological Review (ESR),2004,39
S159327246,European Sociological Review (ESR),1992,38
S159327246,European Sociological Review (ESR),1990,34
S159327246,European Sociological Review (ESR),2002,34
S159327246,European Sociological Review (ESR),1985,33
