Journal Name,Category,URL,Access Type,OpenAlexSourceId,issn,host_organization_name,country_code
American Sociological Review (ASR),Sociology,https://journals.sagepub.com/home/ASR,Subscription,S157620343,"0003-1224,1939-8271",SAGE,GB
American Journal of Sociology (AJS),Sociology,https://www.jstor.org/journal/amerjsoci,Subscription,S122471516,"0002-9602,1537-5390",The University of Chicago Press,US
European Sociological Review (ESR),Sociology,https://academic.oup.com/esr,Subscription,S159327246,"0266-7215,1468-2672",Oxford University Press,GB
The British Journal of Sociology (BJS),Sociology,https://onlinelibrary.wiley.com/journal/14684446,Hybrid,S173252385,"0007-1315,1468-4446",Wiley,GB
Sociological Theory,Sociology,https://journals.sagepub.com/asa,Subscription,S60621485,"0735-2751,1467-9558",SAGE,US
American Anthropologist,Anthropology,https://www.jstor.org/journal/ameranth,Subscription,S102499938,"0002-7294,1548-1433",Wiley,US
Current Anthropology,Anthropology,https://www.jstor.org/journal/curranth,Open access,S165709033,"0011-3204,1537-5382",The University of Chicago Press,US
Journal of the Royal Anthropological Institute (JRAI),Anthropology,https://www.jstor.org/journal/jroyaanthinst,Subscription,S65256140,"1359-0987,1467-9655",Wiley,GB
Ethnos: Journal of Anthropology,Anthropology,https://www.tandfonline.com/toc/retn20/current,Open access,S43131466,"0014-1844,1469-588X",Informa,GB
Journal of Anthropological Research,Anthropology,https://www.jstor.org/journal/janthrese,Subscription,S30381306,"0091-7710,2153-3806",The University of Chicago Press,US
International Journal of Middle East Studies (IJMES),Middle East,https://www.jstor.org/journal/intejmiddeaststu,Subscription,S87435064,"0020-7438,1471-6380",Cambridge University Press,GB
Middle East Journal,Middle East,https://www.jstor.org/journal/middeastj,Subscription,S184885884,"0026-3141,1940-3461",The Middle East Journal,US
Journal of Palestine Studies,Middle East,https://www.jstor.org/journal/jpalestud,Subscription,S88529193,"0377-919X,1533-8614",Informa,US
British Journal of Middle Eastern Studies (BRISMES),Middle East,https://www.jstor.org/journal/britjmiddeaststu,Subscription,S199726014,"1353-0194,1469-3542",Informa,GB
Middle East Critique,Middle East,https://www.tandfonline.com/journals/ccri20,Hybrid,S94209876,"1943-6149,1943-6157",Informa,GB
Genocide Studies and Prevention: An International Journal (GSP),Genocide,https://digitalcommons.usf.edu/gsp/,Open access,S141456655,"1911-0359,1911-9933",University of South Florida Libraries,CA
Journal of Genocide Research (JGR),Genocide,https://www.tandfonline.com/toc/cjgr20/6/4,Subscription,S59071098,"1462-3528,1469-9494",Informa,GB
Holocaust and Genocide Studies (HGS),Genocide,https://academic.oup.com/hgs,Open access,S452692,"1476-7937,8756-6583",Oxford University Press,US
Human Rights Quarterly,Genocide,https://www.jstor.org/journal/humarighquar,Subscription,S38600022,"0275-0392,1085-794X",Project MUSE,US
International Criminal Justice Review,Genocide,https://journals.sagepub.com/home/icj,Subscription,S117214891,"1057-5677,1556-3855",SAGE,US
Memory Studies,Memory,https://journals.sagepub.com/home/mss,Hybrid,S144836642,"1750-6980,1750-6999",SAGE,GB
Memory,Memory,https://www.tandfonline.com/journals/pmem20,Hybrid,S47258695,"0965-8211,1464-0686",Informa,GB
History and Memory,Memory,https://www.jstor.org/journal/histmemo,Subscription,S184094801,"0935-560X,1527-1994",Indiana University Press,US
Holocaust Studies: A Journal of Culture and History,Memory,https://www.tandfonline.com/toc/rhos20/current,Hybrid,S4210222078,"1750-4902,2048-4887",Informa,GB
Journal of Loss and Trauma,Memory,https://www.tandfonline.com/journals/dppa20,Hybrid,S5866276,"1532-5024,1532-5032",Informa,US
Journal of Personality and Social Psychology (JPSP),Prejudice,https://www.apa.org/pubs/journals/psp,Open access,S29984966,"0022-3514,1939-1315",American Psychological Association,US
Personality and Social Psychology Bulletin (PSPB),Prejudice,https://journals.sagepub.com/home/psp,Hybrid,S187348256,"0146-1672,1552-7433",SAGE,US
Group Processes & Intergroup Relations (GPIR),Prejudice,https://journals.sagepub.com/home/gpi,Hybrid,S81071032,"1368-4302,1461-7188",SAGE,GB
Journal of Social Issues (JSI),Prejudice,https://spssi.onlinelibrary.wiley.com/journal/15404560,Subscription,S168863142,"0022-4537,1540-4560",Wiley,US
Ethnic and Racial Studies,Prejudice,https://www.tandfonline.com/journals/rers20,Hybrid,S96629499,"0141-9870,1466-4356",Informa,GB
Journal of Ethnic and Migration Studies (JEMS),Racial Studies,https://www.tandfonline.com/toc/cjms20/current,Hybrid,S149872823,"1369-183X,1469-9451",Informa,GB
Du Bois Review: Social Science Research on Race,Racial Studies,https://www.cambridge.org/core/journals/du-bois-review-social-science-research-on-race,Subscription,S105812952,"1742-058X,1742-0598",Cambridge University Press,US
Ethnicities,Racial Studies,https://journals.sagepub.com/home/ETN,Hybrid,S189112142,"1468-7968,1741-2706",SAGE,GB
"Social Identities: Journal for the Study of Race, Nation and Culture",Racial Studies,https://www.tandfonline.com/journals/csid20,Hybrid,S603496,"1350-4630,1363-0296",Informa,GB
Patterns of Prejudice,Racial Studies,https://www.tandfonline.com/journals/rpop20,Hybrid,S141739696,"0031-322X,1461-7331",Informa,GB
Cultural Studies,Cultural Studies,https://journals.sagepub.com/home/ics,Hybrid,S25593863,"0950-2386,1466-4348",Informa,GB
"Theory, Culture & Society",Cultural Studies,https://journals.sagepub.com/toc/tcsa/2/1,Hybrid,S77333486,"0263-2764,1460-3616",SAGE,GB
Cultural Sociology,Cultural Studies,https://journals.sagepub.com/home/cus,Subscription,S69220080,"1749-9755,1749-9763",SAGE,US
European Journal of Cultural Studies,Cultural Studies,https://journals.sagepub.com/home/ecs,Hybrid,S44753038,"1367-5494,1460-3551",SAGE,GB
Cultural Anthropology,Cultural Studies,https://journal.culanth.org/index.php/ca,Open access,S22506700,"0886-7356,1548-1360",American Anthropological Association,US
American Political Science Review (APSR),Political Science,https://www.cambridge.org/core/journals/american-political-science-review,Hybrid,S176007004,"0003-0554,1537-5943",Cambridge University Press,US
American Journal of Political Science (AJPS),Political Science,https://onlinelibrary.wiley.com/journal/15405907,Subscription,S90314269,"0092-5853,1540-5907",Wiley,US
Journal of Politics (JOP),Political Science,https://www.journals.uchicago.edu/toc/jop/current,Subscription,S95650557,"0022-3816,1468-2508",The University of Chicago Press,US
British Journal of Political Science (BJPolS),Political Science,https://www.cambridge.org/core/journals/british-journal-of-political-science,Subscription,S95691132,"0007-1234,1469-2112",Cambridge University Press,GB
World Politics,Political Science,https://www.cambridge.org/core/journals/world-politics,Subscription,S143110675,"0043-8871,1086-3338",Cambridge University Press,GB
Harvard Law Review,Law,https://harvardlawreview.org,Subscription,S117766065,"0017-811X,2161-976X",JSTOR,US
Yale Law Journal,Law,https://yalelawjournal.org,Subscription,S161895660,"0044-0094,1939-8611",JSTOR,US
Oxford Journal of Legal Studies,Law,https://academic.oup.com/ojls,Subscription,S34110867,"0143-6503,1464-3820",Oxford University Press,GB
Stanford Law Review,Law,https://www.stanfordlawreview.org,Subscription,S161743634,"0038-9765,1939-8581",JSTOR,US
