word,count,upos,ner
political,8171,ADJ,WORK_OF_ART;ORG;LAW;EVENT
history,7448,NOUN;PROPN,WORK_OF_ART;ORG;EVENT
israel,7441,PROPN;X,GPE;NORP;ORG;WORK_OF_ART;PERSON;FAC;LOC;DATE;EVENT;LAW
science,7008,NOUN;PROPN,WORK_OF_ART;ORG;LAW
israeli,6827,ADJ;PROPN;X;NOUN,LAW;NORP;ORG;EVENT;WORK_OF_ART;PERSON;GPE;FAC
law,5430,PROPN;NOUN,LAW;PERSON;ORG;WORK_OF_ART;EVENT;GPE
palestinian,4815,ADJ;PROPN,NORP;GPE;WORK_OF_ART;ORG;EVENT;LAW;PERSON
state,4401,PROPN;NOUN;VERB,ORG;GPE;WORK_OF_ART;FAC;LAW;EVENT;NORP
study,4226,NOUN;VERB;PROPN,EVENT;WORK_OF_ART;ORG;LAW
arab,3974,ADJ;PROPN,NORP;EVENT;ORG;WORK_OF_ART;LOC;GPE;LAW;PERSON
politics,3454,PROPN;NOUN,WORK_OF_ART;ORG;LAW;EVENT;PERSON
palestine,3333,PROPN;ADJ;X,GPE;PERSON;ORG;WORK_OF_ART;NORP;EVENT;DATE;LAW;FAC
sociology,2906,PROPN;NOUN,WORK_OF_ART;ORG;LAW
conflict,2640,NOUN;PROPN;VERB,ORG;WORK_OF_ART;LAW;EVENT;LOC
new,2400,ADJ;PROPN;NOUN,WORK_OF_ART;ORG;GPE;EVENT;FAC;DATE;NORP;PERSON;LOC;LAW
jewish,2251,ADJ;PROPN;NOUN,NORP;WORK_OF_ART;ORG;EVENT;GPE;LAW
war,2186,NOUN;PROPN,EVENT;WORK_OF_ART;ORG;LAW
university,2163,PROPN;NOUN,ORG;WORK_OF_ART
social,2155,ADJ;PROPN;NOUN,ORG;EVENT;WORK_OF_ART;LAW;PERSON
ancient,2140,ADJ,WORK_OF_ART;GPE;LOC;PERSON
right,2116,NOUN;ADJ;PROPN;ADV,WORK_OF_ART;ORG;EVENT;LAW
middle,2102,ADJ;NOUN;PROPN,LOC;DATE;NORP;ORG;WORK_OF_ART;EVENT;GPE
press,2079,NOUN;VERB;PROPN;ADJ,ORG;WORK_OF_ART;EVENT
east,2042,PROPN;ADJ;NOUN;ADV,LOC;GPE;WORK_OF_ART;ORG;NORP;EVENT;FAC
international,1943,ADJ;PROPN;NOUN,WORK_OF_ART;ORG;EVENT;LAW;FAC
article,1888,NOUN;PROPN;X,LAW;WORK_OF_ART;ORG
policy,1724,PROPN;NOUN,LAW;ORG;WORK_OF_ART;EVENT;FAC;PERSON
group,1658,NOUN;PROPN;VERB,ORG;WORK_OF_ART;LAW;EVENT;PRODUCT
other,1630,ADJ;NOUN;PROPN,WORK_OF_ART;ORG;NORP;LAW;DATE;GPE
computer,1574,NOUN;PROPN,WORK_OF_ART
see,1565,VERB;PROPN;NOUN;X,WORK_OF_ART;PERSON;ORG
psychology,1557,NOUN;PROPN,WORK_OF_ART;ORG
human,1507,ADJ;NOUN,WORK_OF_ART;ORG;EVENT;LAW
more,1475,ADJ;ADV;NOUN,DATE;WORK_OF_ART;CARDINAL;MONEY;PERCENT;TIME;QUANTITY
book,1459,NOUN;PROPN;VERB;X,WORK_OF_ART;ORG;EVENT
identity,1401,NOUN;PROPN,WORK_OF_ART;ORG
also,1391,ADV,WORK_OF_ART
two,1349,NUM,CARDINAL;DATE;EVENT;ORG;WORK_OF_ART;LAW;TIME;QUANTITY
one,1342,NUM;NOUN;PROPN,CARDINAL;WORK_OF_ART;EVENT;TIME;PERCENT;ORG;DATE;PERSON;QUANTITY
peace,1323,NOUN;PROPN;VERB,WORK_OF_ART;ORG;EVENT;FAC;LAW
philosophy,1319,NOUN;PROPN,WORK_OF_ART;ORG
jew,1313,PROPN;NOUN,NORP;WORK_OF_ART;ORG;PERSON
world,1311,NOUN;PROPN,WORK_OF_ART;ORG;EVENT;LOC;FAC
economic,1239,ADJ,ORG;WORK_OF_ART;EVENT;LAW;LOC;PERSON
have,1229,VERB;X;NOUN;PROPN,WORK_OF_ART;FAC
how,1206,ADV,WORK_OF_ART;EVENT
economy,1185,NOUN;PROPN,ORG;LAW;WORK_OF_ART
national,1164,ADJ;PROPN;NOUN,ORG;WORK_OF_ART;EVENT;LAW;FAC
holocaust,1152,PROPN;ADJ;NOUN;X,EVENT;WORK_OF_ART;NORP;ORG;FAC;PERSON;DATE
