word1,word2,count
middle,east,1138
university,press,986
new,york,974
arab,israeli,915
human,right,880
israeli,conflict,676
west,bank,591
unite,state,523
israeli,palestinian,522
israel,palestine,298
palestine,study,297
state,israel,291
international,law,286
peace,process,268
foreign,policy,260
arab,world,250
middle,eastern,236
united,state,235
prime,minister,229
journal,palestine,210
gaza,strip,207
palestinian,israeli,207
palestinian,conflict,204
cambridge,university,193
palestinian,arab,183
case,study,178
bank,gaza,177
tel,aviv,176
jewish,state,170
israeli,society,169
palestine,israel,163
volume,issue,163
google,scholar,160
unite,nation,158
occupy,territory,158
palestine,arab,157
east,jerusalem,156
book,review,155
world,war,154
article,examine,153
university,california,147
palestinian,refugee,146
soviet,union,145
israeli,settlement,142
oxford,university,141
palestinian,territory,138
cambridge,cambridge,137
israel,palestinian,131
periodical,literature,131
take,place,130
see,also,129
israeli,occupation,128
ben,gurion,128
saudi,arabia,127
security,council,126
arab,state,122
palestinian,citizen,119
california,press,119
israeli,arab,118
israeli,military,116
show,how,115
occupied,territory,113
same,time,112
settler,colonial,112
state,university,112
citizen,israel,112
jewish,israeli,111
twentieth,century,109
israeli,government,107
israeli,peace,107
click,increase,106
increase,image,106
image,sizeclick,106
sizeclick,decrease,106
decrease,image,106
image,size,106
israeli,war,105
international,relation,105
politics,society,105
israeli,politics,105
israel,arab,103
study,vol.,103
page,note,103
national,security,102
national,identity,101
nation,state,100
press,1994,99
palestinian,israel,97
palestinian,authority,97
cold,war,95
article,explore,93
arab,israel,93
source,material,93
settler,colonialism,92
columbia,university,92
genocide,study,91
jewish,community,91
public,opinion,90
liberation,organization,89
university,new,89
hebrew,university,88
article,argue,88
additional,information,88
two,state,88
golan,height,88
press,1995,87
south,africa,87
israeli,state,86
information,note,86
1967,war,84
document,source,84
london,new,83
palestine,liberation,82
israeli,jew,82
june,1967,82
size,additional,82
conflict,periodical,82
israeli,policy,81
right,wing,81
jew,arab,81
press,1993,80
holocaust,survivor,79
article,review,79
london,routledge,78
princeton,university,78
document,palestine,78
review,book,77
abstract,section,77
study,examine,76
supreme,court,76
most,important,75
civil,society,75
collective,memory,75
palestinian,woman,75
camp,david,75
long,term,74
york,press,74
palestinian,person,74
state,solution,74
see,example,73
relation,israel,73
one,most,72
available,online,72
east,peace,72
recent,year,71
palestinian,state,70
york,oxford,70
refugee,camp,70
political,economy,69
examine,how,69
conflict,resolution,68
york,columbia,68
press,1996,67
ethnic,group,67
jewish,arab,67
israel,occupy,67
arab,minority,66
gulf,war,66
york,routledge,65
press,1992,65
book,relevant,65
arab,jewish,64
united,nation,64
israeli,prime,64
war,israel,64
palestinian,politics,64
relevant,palestine,64
one,hand,63
civil,war,63
oxford,oxford,63
third,world,63
other,work,63
self,determination,63
arab,jew,63
literature,art,63
arab,document,63
list,article,63
israeli,relation,62
jew,israel,62
international,community,62
social,political,62
abstract,article,62
draw,material,62
press,2005,61
north,africa,61
u.s.,israeli,60
press,2001,60
international,criminal,59
political,science,59
arab,middle,59
institute,palestine,58
work,author,58
event,affect,58
former,soviet,57
other,hand,57
foreign,affair,57
jewish,question,57
organization,plo,57
council,resolution,57
occupy,palestinian,57
affect,palestinian,57
nuclear,weapon,56
political,party,56
humanitarian,law,56
1948,war,56
eastern,politics,56
press,1997,55
armed,conflict,55
first,time,55
article,analyze,54
press,1990,54
arab,country,54
decision,make,53
holocaust,genocide,53
foreign,minister,53
court,justice,53
university,chicago,52
palestinian,peace,52
six,day,52
day,war,52
settlement,activity,52
high,level,51
palestinian,national,51
modern,history,51
secretary,state,51
well,know,51
ethnic,identity,51
minority,israel,51
east,policy,51
jerusalem,israeli,51
search,other,51
jewish,identity,50
israel,unite,50
economy,society,50
bibliography,periodical,50
section,list,50
animal,right,50
political,economic,49
defense,force,49
princeton,princeton,49
arab–,israeli,49
article,focus,49
history,1948,49
politics,international,49
high,education,48
press,2004,48
aviv,university,48
politics,israel,48
david,ben,48
war,lebanon,48
end,page,48
eastern,study,48
jewish,person,47
armenian,genocide,47
two,decade,47
london,university,47
international,humanitarian,47
arab,nationalism,47
general,history,47
author,oxford,47
oxford,academic,47
academic,google,47
conflict,entry,47
political,system,46
near,east,46
second,generation,46
university,jerusalem,46
chicago,university,46
explore,how,46
peace,middle,46
u.s.,policy,46
law,military,46
palestine,palestinian,46
report,israeli,46
decision,making,45
demonstrate,how,45
much,more,45
political,social,45
arab,palestinian,45
social,change,45
egypt,israel,45
