word1,word2,word3,count
arab,israeli,conflict,778
state,computer,science,668
history,political,science,634
history,ancient,history,586
political,science,law,578
ancient,history,history,521
political,science,history,519
science,ancient,history,379
abstract,available,content,376
available,content,preview,376
content,preview,provide,376
preview,provide,please,376
provide,please,use,376
please,use,get,376
use,get,access,376
get,access,link,376
access,link,above,376
link,above,information,376
above,information,how,376
information,how,access,376
how,access,content,376
political,science,ancient,341
law,political,science,332
politics,political,science,250
political,science,sociology,247
ancient,history,political,239
journal,palestine,study,209
sociology,political,science,197
west,bank,gaza,195
israeli,palestinian,conflict,195
study,political,science,189
cambridge,university,press,186
ancient,history,law,181
science,political,economy,162
arab–,israeli,conflict,156
palestine,political,science,152
political,science,political,148
palestine,arab,israeli,148
science,history,ancient,145
science,political,science,142
political,economy,sociology,141
cambridge,cambridge,university,137
palestine,ancient,history,137
oxford,university,press,136
computer,science,political,135
media,study,sociology,132
history,media,study,131
political,science,politics,127
psychology,social,psychology,127
political,science,geography,126
israeli,conflict,political,120
university,california,press,119
history,history,law,119
science,media,study,119
conflict,political,science,118
law,computer,science,117
history,computer,science,109
science,computer,science,108
click,increase,image,106
increase,image,sizeclick,106
image,sizeclick,decrease,106
sizeclick,decrease,image,106
decrease,image,size,106
law,ancient,history,102
content,measure,theory,101
political,economy,law,99
spanish,civil,war,97
political,science,media,95
world,wide,web,95
political,science,philosophy,94
gender,study,sociology,92
media,study,political,92
bank,gaza,strip,88
palestinian,citizen,israel,87
additional,information,note,86
university,new,york,85
palestine,study,vol.,84
document,source,material,84
science,middle,east,83
sociology,gender,study,82
image,size,additional,82
size,additional,information,82
israeli,conflict,periodical,82
science,history,law,81
conflict,periodical,literature,81
middle,east,political,80
history,history,political,80
political,science,palestine,80
human,right,law,80
arab,israeli,war,79
palestine,liberation,organization,79
computer,science,law,79
palestine,arab–,israeli,79
london,new,york,78
ancient,history,geography,78
document,palestine,arab,77
psychology,political,science,76
political,science,middle,76
state,university,new,76
political,science,computer,75
gender,study,political,75
ancient,history,sociology,75
history,economic,history,74
new,york,press,74
history,political,economy,74
law,political,economy,73
political,science,economic,73
political,science,archaeology,73
social,psychology,psychology,71
columbia,university,press,71
middle,east,peace,71
new,york,oxford,70
political,science,social,70
science,gender,study,70
new,york,columbia,68
york,columbia,university,67
science,sociology,law,67
east,political,science,67
science,economic,history,67
international,human,right,67
geography,political,science,67
history,religious,study,65
princeton,university,press,65
new,york,routledge,64
philosophy,political,science,64
political,science,art,64
political,science,gender,64
review,book,relevant,64
book,relevant,palestine,64
arab,document,palestine,63
list,article,review,63
article,review,book,63
science,state,computer,62
economic,history,political,62
political,science,state,61
oxford,oxford,university,61
argument,complex,analysis,61
sociology,media,study,61
relevant,palestine,arab,61
international,humanitarian,law,60
science,religious,study,60
israeli,prime,minister,60
palestinian,arab,israeli,60
law,history,ancient,59
science,world,wide,59
security,council,resolution,58
sociology,ancient,history,57
media,study,law,57
liberation,organization,plo,57
institute,palestine,study,57
media,study,history,56
middle,eastern,politics,56
event,affect,palestinian,56
computer,science,politics,55
computer,science,history,55
sociology,political,economy,55
ancient,history,palestine,55
political,science,criminology,54
economy,political,science,54
political,science,religious,54
ancient,history,archaeology,54
occupy,palestinian,territory,54
